Rank(P),Point,Rank(C),Cristal,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,S16 Od,S17 Od,S18 Od,S19 Od,S20 Od,이전 아이디,비고,여단,SRP,SRC
461,6,431,"10,500",죠 죠,이리스,-,-,-,-,-,-,-,-,-,-,실3,골3,골3,골1,골2,원더,256,256,128,256,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,256,,,크런키,5,5
419,7,431,"10,500",코드제네시스,노센레이어,실3,골3,골3,골3,골3,골1,골2,골1,골1,골2,원더,256,원더,원더,원더,원더,128,256,256,-,-,-,-,-,-,-,-,-,-,-,-,233,-,,,,,,,,,,BlackTea,35,35
364,9,431,"10,500",GGFF,칼자스,256,256,64,32,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,238,44,29,-,-,-,-,-,-,-,-,-,,,,,,,,카즈가오,,,16,20
364,9,431,"10,500",쯔바이,티스라오,원더,원더,256,128,64,64,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197,108,35,37,-,-,-,-,-,-,-,,,,,,,,"죽, 쯔바이",,,126,145
461,6,431,"10,500",사학,티스라오,128,256,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,224,171,189,228,-,-,-,-,-,-,-,-,,,,,,,,,,,151,145
461,6,431,"10,500",PRIDE,노센레이어,원더,256,256,256,256,128,골1,원더,원더,골3,실1,-,-,-,-,-,-,-,-,-,-,232,201,233,168,69,-,-,-,-,-,-,-,,,,,,,,"PRIDE, 마 카 롱, 심 바",,,37,35
461,6,431,"10,500",준드,노센레이어,골1,골2,원더,256,원더,원더,원더,64,256,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,187,-,-,-,61,249,-,130,-,-,,,,,,,,"준드래곤, 준드",,,37,35
461,6,431,"10,500",치하야후루,티스라오,-,-,-,-,-,골3,골2,골3,골2,골1,원더,원더,원더,골2,원더,골1,256,256,256,128,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,128,"치하야후루, 람쥐",,랑린이,151,145
461,6,431,"10,500",Ciervo,빛의후예,-,실2,실1,골3,골2,골1,원더,골1,골1,골2,골1,골2,골2,골2,원더,원더,256,256,256,128,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,128,,,심플,6,5
461,6,450,"10,000",토오오,어둠의전설,실1,골3,골3,골3,골3,골3,골3,골3,골3,골2,골3,원더,원더,256,원더,원더,256,원더,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,217,,,,,,256,,,카콘시스,3,2
571,4,450,"10,000",유미아르,발디아,골3,골1,원더,원더,원더,원더,원더,원더,원더,원더,256,256,원더,원더,원더,원더,원더,256,원더,256,-,-,-,-,-,-,-,-,-,-,179,161,-,236,,,,,,256,,,빛의군단,22,17
510,5,450,"10,000",케이팝데몬헌터스,노센레이어,골3,골3,원더,원더,원더,원더,128,원더,원더,256,원더,원더,원더,원더,256,원더,원더,골1,256,-,-,-,-,-,-,-,82,-,-,167,-,-,-,,256,,,,,,"루빌, 군바리, 케이팝데몬헌터스",,피닉스,44,39
571,4,450,"10,000",간단하게살자,카먼,실2,실2,실1,골3,실1,골3,골3,골3,골3,골3,골3,골3,원더,원더,256,256,골3,원더,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,,256,,,,,256,,아야코,고양이소릴내봐이묘묘묘묘묘묘묙,91,74
393,8,450,"10,000",Landsoul,카먼,256,256,원더,128,골2,32,골2,골1,골2,-,-,-,-,-,-,-,-,-,-,-,151,170,-,123,-,27,-,-,-,-,-,-,-,,,,,,,,"WeRRa, 빛후 랜솔, 빛후랜솔, Landsoul",,다람쥐,68,74
393,8,450,"10,000",후숙키위,티스라오,원더,256,128,원더,64,128,-,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,211,117,-,64,98,-,-,-,-,-,-,-,,,,,,,,"Briz, BRIZEND, E N D, ENDNE, ENND, 양꿀",,랑그리스,131,152
393,8,450,"10,000",에르슈,티스라오,골2,원더,원더,원더,원더,256,원더,원더,128,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190,-,-,97,14,-,-,-,,,,,,,,,,슬레이어즈,131,152
510,5,450,"10,000",레전드마리,라카스,실2,골3,골1,골1,원더,원더,원더,원더,골2,골1,원더,256,-,-,-,256,256,원더,원더,256,-,-,-,-,-,-,-,-,-,-,-,142,-,,,,,,,256,,,카콘시스,9,9
461,6,450,"10,000",고추빠사삭,티스라오,256,원더,원더,원더,원더,원더,64,원더,원더,골2,-,-,-,-,-,-,-,256,256,-,141,-,-,-,-,-,55,-,-,-,-,-,-,,,,,,,,"달나라 호랑이, 고추빠사삭",,Epic,151,152
510,5,450,"10,000",SEagle,노센레이어,실2,실2,실1,골2,골1,골1,골1,골1,골1,원더,256,256,256,원더,원더,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,-,233,136,168,,,,,,,,,,,44,39
510,5,450,"10,000",라마,티스라오,골2,골2,골1,128,원더,원더,원더,256,256,256,원더,-,-,-,-,-,-,-,-,-,-,-,-,96,-,-,-,165,231,153,-,-,-,,,,,,,,,,,174,152
510,5,450,"10,000",Laureate,레이갈드,골3,골2,골3,골2,골2,원더,256,원더,원더,256,원더,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,150,-,-,241,-,159,81,,,,,,,,"여은이람쥐, Laureate",,,50,41
461,6,450,"10,000",또까미,성검,원더,원더,원더,원더,원더,원더,256,-,-,-,-,-,-,-,-,-,256,256,원더,128,-,-,-,-,-,-,217,-,-,-,-,-,-,,,,,,,128,,메이저,고양이,19,17
342,10,463,"9,500",잔혹그자체,어둠의전설,골3,골2,골1,원더,골2,원더,원더,원더,원더,원더,원더,원더,원더,64,원더,원더,원더,256,원더,64,-,-,-,-,-,-,-,-,-,-,-,-,-,56,,,,,,64,,,카콘시스,2,3
419,7,463,"9,500",욘모그셈,칼자스,원더,실2,골3,골1,골1,골2,골2,원더,원더,골2,256,골2,골2,골1,32,-,-,-,128,-,-,-,-,-,-,-,-,-,-,-,225,-,-,,21,,,,,,,,형귀헬스장,20,21
419,7,463,"9,500",튀니지여친있음,보르스레누,-,-,-,-,-,-,-,-,-,-,-,-,골3,골3,골1,원더,골2,32,128,256,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,256,"이탈리아여친있음, 튀니지여친있음",,노블레스,7,7
571,4,463,"9,500",포근한  세상,벨제리아,골1,256,원더,원더,원더,원더,원더,원더,원더,256,골1,-,-,-,-,-,-,256,256,-,-,221,-,-,-,-,-,-,-,203,-,-,-,,,,,,,,,,말랑카우,30,26
510,5,463,"9,500",브레이브버드,티스라오,원더,원더,원더,원더,원더,256,256,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,248,140,175,68,-,-,-,-,,,,,,,,,,카르페디엠,174,156
419,7,463,"9,500",DORO,발디아,-,-,실3,골3,골2,골3,원더,128,-,-,-,-,-,-,-,-,-,-,32,256,-,-,-,-,-,-,-,70,-,-,-,-,-,,,,,,,256,"아기왕밤빵, DORO",,형귀헬스장,15,18
342,10,463,"9,500",IKEA,카먼,64,64,32,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,56,19,-,-,-,-,-,-,-,-,-,-,,,,,,,,"어둠의왕자, IKEA",,,55,76
393,8,463,"9,500",펭귄기여어,칼자스,골2,원더,원더,128,원더,원더,원더,32,원더,원더,128,-,-,-,-,-,-,-,-,-,-,-,-,90,-,-,-,30,-,-,90,-,-,,,,,,,,,,,18,21
461,6,463,"9,500",라비는약해,티스라오,128,원더,128,원더,원더,256,원더,원더,원더,원더,256,-,-,-,-,-,-,-,-,-,68,-,118,-,-,191,-,-,-,-,189,-,-,,,,,,,,,,,151,156
461,6,463,"9,500",폭사의요정,티스라오,골3,골3,골3,원더,64,256,256,256,원더,원더,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,51,176,216,234,-,-,-,-,-,,,,,,,,,,,151,156
510,5,463,"9,500",흑강의 후계자,티스라오,골3,원더,원더,원더,원더,256,128,256,256,원더,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173,102,213,210,-,-,-,-,,,,,,,,,,,174,156
342,10,474,"9,000",멍멍크아앙컹컹,리그리아,-,실2,골3,골3,골1,원더,골2,골1,골2,골2,원더,원더,원더,32,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,256,,,,,,"을꾸꾸, 아담한남자, 멍멍크아앙컹컹",,세인트,9,12
364,9,474,"9,000",망친상어,벨제리아,-,골3,골3,골3,골3,골1,원더,원더,128,원더,골1,256,원더,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,214,-,39,,,,,,,"starhope, 하야세 유우카, Haruna, 망친상어",,,19,27
571,4,474,"9,000",라다니아,노센레이어,원더,원더,원더,256,원더,원더,256,원더,원더,원더,256,원더,골1,골1,256,-,-,-,-,-,-,-,-,231,-,-,207,-,-,-,151,-,-,,256,,,,,,,,BlackTea,53,41
461,6,474,"9,000",유즈맘,티스라오,골3,원더,256,원더,128,128,256,-,원더,원더,-,-,-,-,-,-,-,-,-,-,-,-,136,-,114,94,253,-,-,-,-,-,-,,,,,,,,명예수호자,,랑그리스,151,160
461,6,474,"9,000",꿀벌펀치,레이갈드,256,원더,원더,256,64,256,원더,원더,-,-,-,-,-,-,-,-,-,-,-,-,256,-,-,230,46,206,-,-,-,-,-,-,-,,,,,,,,"오로롱, 야 꿀벌",,미시인사이드,46,42
419,7,474,"9,000",공백닉14,티스라오,골3,골2,-,실1,골3,원더,32,128,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,87,189,-,-,-,-,,,,,,,,마트로시카,,흑우단,139,160
461,6,474,"9,000",초팬,리그리아,128,128,원더,256,256,골3,골3,골1,원더,골3,실2,-,-,-,-,-,-,-,-,-,95,110,-,139,151,-,-,-,-,-,-,-,-,,,,,,,,"강정, 강적, 공짜강적, 초팬",,Legend,14,12
319,11,474,"9,000",에밀리오yOA6,발디아,16,8,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,7,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,양워르,,,12,19
364,9,474,"9,000",에스카노르0rh,성검,원더,256,64,16,-,-,원더,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,166,33,13,-,-,-,-,-,-,-,-,-,,,,,,,,에스카노르,,,14,18
364,9,474,"9,000",고인 젠킨스,벨제리아,골2,골1,16,64,256,원더,골1,실3,실2,실3,-,-,-,-,-,-,-,-,-,-,-,-,14,48,138,-,-,-,-,-,-,-,-,,,,,,,,"리 록리 젠킨스, LeeRoy, 균형의수호자, 양념반후라이드반, 쿤형의수호자, 균형의수호자, C드권 젠킨스, 아이디빌린초보, 결속, 북극의 막시무스, 고인 젠킨스",,,19,27
419,7,474,"9,000",Solongos,카먼,원더,골3,골3,골3,골3,골3,256,원더,64,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,-,63,58,-,-,-,,,,,,,,"윤석열, 용사근혜, 대갈휘, 야숭이두창, 공백닉, Solongos",,,73,77
461,6,474,"9,000",브이몬,티스라오,원더,128,128,256,256,원더,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,71,237,224,-,-,-,-,-,-,-,-,,,,,,,,"BisvV, 탈주닌자",,,151,160
461,6,474,"9,000",벨제리아 테무친,벨제리아,골3,골2,골2,원더,원더,원더,원더,128,64,256,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,61,226,-,-,-,,,,,,,,"벨제리아 테무친, 뚱멜다, 공백닉7",,,26,27
461,6,474,"9,000",오로 크로니,티스라오,원더,원더,128,256,128,원더,256,원더,원더,원더,원더,-,-,-,-,-,-,-,-,-,-,-,82,186,69,-,215,-,-,-,-,-,-,,,,,,,,아르꾸,,,151,160
510,5,474,"9,000",준영,카먼,256,128,골1,원더,원더,원더,256,256,골2,-,-,-,-,-,-,-,-,-,-,-,174,89,-,-,-,-,210,212,-,-,-,-,-,,,,,,,,,,,79,77
461,6,474,"9,000",시빅,티스라오,브3,-,-,-,-,-,-,-,-,실1,골3,골3,골2,골2,골2,원더,원더,128,128,128,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,128,,,연,151,160
419,7,490,"8,500",무신멸뢰,카먼,골3,골3,골3,골3,골2,골2,원더,원더,원더,원더,원더,원더,원더,128,원더,원더,원더,원더,128,256,-,-,-,-,-,-,-,-,-,-,-,-,-,92,,,,,,256,,,챔피언스리그,73,79
461,6,490,"8,500",노딜러스,성검,골3,골3,골2,골2,골3,골1,골3,골3,골3,원더,골2,원더,골2,256,원더,64,-,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,,,,,,,"오리달다, 님의침묵, Jennelyn, 노딜러스",,Fiesta,19,19
510,5,490,"8,500",다람쥐 베르너,카먼,256,원더,256,128,원더,256,골2,원더,원더,원더,골2,-,-,-,-,-,-,-,-,-,164,-,212,87,-,246,-,-,-,-,-,-,-,,,,,,,,빛후 시그마,,다람쥐,79,79
419,7,490,"8,500",웰치스캔포도맛,레이갈드,골2,골1,원더,원더,128,128,골2,원더,원더,원더,-,64,-,-,-,-,-,-,-,-,-,-,-,-,78,70,-,-,-,-,-,51,-,,,,,,,,,,대한민국,41,43
510,5,490,"8,500",일루시아bDGB,레이갈드,128,256,256,256,원더,원더,원더,원더,골2,-,-,-,-,-,-,-,-,-,-,-,71,159,149,196,-,-,-,-,-,-,-,-,-,,,,,,,,일루시아,,미시인사이드,50,43
510,5,490,"8,500",히핍,티스라오,골1,원더,원더,256,256,128,256,골3,골3,-,골3,-,-,-,-,-,-,-,-,-,-,-,-,241,244,82,252,-,-,-,-,-,-,,,,,,,,"소잃고뇌약간고친, 팥쥐, 히핍",,빛,174,165
510,5,490,"8,500",매의단그리피스,티스라오,128,256,원더,원더,골1,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,80,133,-,-,-,164,133,-,-,-,-,-,-,,,,,,,,,,여고생,174,165
419,7,490,"8,500",슈테른릿터,칼자스,원더,-,실3,-,-,-,-,-,실3,골2,골1,원더,골2,골2,골2,원더,128,128,원더,256,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,256,,,칼자스,20,23
342,10,490,"8,500",시바견6KATR,레이갈드,8,32,원더,골3,골3,브3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,24,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,"애비파라무그손, 짱딘, 시바견",,,36,43
510,5,490,"8,500",KingDom,레이갈드,256,128,256,원더,256,골3,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,238,90,239,-,248,-,-,-,-,-,-,-,-,,,,,,,,,,,50,43
510,5,490,"8,500",망겜임,발디아,128,256,원더,256,256,실1,실2,골3,골2,실1,골3,-,-,-,-,-,-,-,-,-,84,145,-,143,255,-,-,-,-,-,-,-,-,,,,,,,,"운좀줘, 망겜임",,,18,20
510,5,490,"8,500",독도,노센레이어,골2,골2,골2,128,256,256,256,원더,골2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,136,222,246,-,-,-,-,-,-,,,,,,,,,,,44,42
510,5,490,"8,500",모두행복하세요,카콘시스,원더,원더,256,128,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,118,193,149,-,-,-,-,-,-,-,,,,,,,,OCI51,,,6,6
510,5,490,"8,500",현이하나,이스카노,-,-,실3,골3,골1,골2,골3,128,128,256,골2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,122,161,-,-,-,,,,,,,,,,,4,4
571,4,490,"8,500",일륜,카콘시스,실2,골3,골1,원더,256,256,256,256,원더,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,184,218,200,-,-,-,-,-,,,,,,,,"오필리아, 일륜, 기밀 륜",,,7,6
510,5,490,"8,500",아스카렛,레이갈드,골3,골3,골2,골2,골1,골2,골2,골1,골1,골1,골1,골1,골1,원더,골1,원더,원더,256,128,128,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,128,,,대한민국,50,43
510,5,490,"8,500",마나린,티스라오,실1,골2,원더,원더,원더,원더,원더,원더,원더,원더,원더,골1,원더,원더,원더,-,골3,256,256,64,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,64,"칼든강도, Dorai, 마나린",계정 변경 마나린(S20) ?,머피소,174,165
461,6,490,"8,500",심곡동유저,티스라오,-,-,브3,브1,-,골3,골3,골3,골3,골2,골2,골1,원더,골1,원더,원더,256,원더,256,64,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,64,,,질풍,151,165
461,6,508,"8,000",바틀럭키,성검,실3,골3,골1,원더,원더,원더,원더,원더,원더,골2,골2,골1,원더,128,골1,골2,골2,원더,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,72,,,,,,256,,,흑전드,19,20
510,5,508,"8,000",Anku,카먼,골3,실2,-,-,-,실2,골3,골1,골1,원더,원더,원더,128,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,190,256,,,,,,,,대한민국,79,81
510,5,508,"8,000",병정,카먼,-,브3,실3,실3,실1,골3,실1,실2,골2,골3,골2,원더,골2,256,원더,128,원더,256,원더,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,220,,,,,,,"정병, 병정",,SP알하자드,79,81
461,6,508,"8,000",PeLL,노센레이어,-,-,-,-,-,-,골3,골3,골2,골1,원더,원더,원더,원더,원더,256,128,-,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,꽃사슴,37,43
510,5,508,"8,000",썹플란트,카먼,-,-,-,-,-,-,-,-,-,-,브1,실2,실3,골1,원더,원더,256,128,256,-,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,랑돌,79,81
510,5,508,"8,000",니은이,엘스리드,-,실1,골2,골1,원더,원더,128,128,원더,256,골1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,86,-,158,-,-,-,,,,,,,,,,엘스리드왕국,4,5
571,4,508,"8,000",백야차,티스라오,골3,골2,골1,원더,원더,원더,원더,256,128,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253,103,-,235,-,-,,,,,,,,"Stussy, 백얓",,여고생,188,169
510,5,508,"8,000",신조협려1,노센레이어,골2,골3,골3,골3,-,원더,64,256,256,원더,-,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,242,154,-,-,-,-,,,,,,,,"PNix트리엘, 사조영웅전, 소오강호곡, 신조협려1",,피닉스,44,43
461,6,508,"8,000",ZELDA,티스라오,-,골3,골1,원더,256,256,골1,골1,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,188,-,-,19,-,-,-,-,,,,,,,,"폰허브, 봉달",,흑우단,151,169
571,4,508,"8,000",백과사전,발디아,실1,-,-,-,-,-,-,-,-,-,-,골2,골1,원더,원더,원더,원더,256,128,256,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,256,"니브, 명아, Æn, 백과사전",ㄲ한자1,JMT,22,21
419,7,508,"8,000",Apache,리그리아,32,256,128,원더,원더,골1,원더,골3,-,-,-,-,-,-,-,-,-,-,-,-,23,162,86,-,-,-,-,-,-,-,-,-,-,,,,,,,,살귀,,Legend,12,14
364,9,508,"8,000",임블,레이갈드,1,원더,원더,원더,원더,원더,골3,골3,골2,골2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,39,48
419,7,508,"8,000",꾸꾸까까12,칼자스,원더,128,64,128,원더,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,36,117,-,-,-,-,-,-,-,-,-,,,,,,,,,,,20,24
419,7,508,"8,000",카프레제,티스라오,64,128,128,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,94,97,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,139,169
419,7,508,"8,000",SCHUBERT,성검,256,128,32,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,218,120,20,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,16,20
419,7,508,"8,000",무딘,티스라오,골3,원더,골2,원더,골3,골2,골2,골1,골1,골1,128,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,11,-,,,,,,,,"썸탈꺼야, 류심, 무딘, 펭귄인형",,,139,169
419,7,508,"8,000",쩡요87,빛의후예,원더,원더,64,원더,256,원더,64,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,233,-,36,-,-,-,-,-,-,,,,,,,,"미니꼬1, 식물, 여니꼬, 쩡요87",,,5,6
419,7,508,"8,000",SparkGuz,카먼,원더,원더,원더,32,256,128,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,223,121,-,-,-,-,-,-,-,,,,,,,,,,,73,81
461,6,508,"8,000",배추사세요,티스라오,실2,골3,원더,원더,원더,64,256,128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,130,90,-,-,-,-,-,,,,,,,,실바나스,,,151,169
510,5,508,"8,000",그 린,카먼,골2,골2,원더,원더,원더,원더,256,128,128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,98,116,-,-,-,-,,,,,,,,,,,79,81
510,5,508,"8,000",엽꿀,노센레이어,골2,원더,원더,원더,원더,64,골3,256,256,골2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,172,191,-,-,-,-,,,,,,,,,,,44,43
510,5,508,"8,000",준휘아빠,성검,골3,골3,원더,원더,원더,원더,128,256,128,-,-,원더,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,176,81,-,-,-,-,,,,,,,,"불빠따, 리릿, 준휘아빠",,,22,20
510,5,508,"8,000",Norn,레이갈드,원더,원더,원더,256,원더,원더,원더,256,64,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,209,-,-,-,236,53,-,-,-,-,,,,,,,,,,,50,48
571,4,508,"8,000",IllIIlIl,벨제리아,256,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250,243,196,242,-,-,-,-,-,-,-,-,-,,,,,,,,"Von, 유벤투스",,,30,30
571,4,508,"8,000",율리웁스,엘스리드,실3,골2,원더,256,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179,171,178,249,-,-,-,-,-,-,,,,,,,,,,,6,5
571,4,508,"8,000",픽사,칼자스,브1,-,원더,256,256,256,256,-,골3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,200,148,137,-,-,-,-,-,-,,,,,,,,"쥬그라가쥬금, 보 리, 구조체, 아쿄, 시카시카시카츄, 양꿀, 회색늑대쨩, 불굴의닭강정","계정 변경 아 카 야(S6), 계정 변경 양꿀(S6), 계정 변경 회색늑대쨩(S7), 계정 변경 픽사(S8)",,26,24
419,7,508,"8,000",리브영,레이갈드,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,128,16,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,,16,"올리브영, 리브영",,미시인사이드,41,48
571,4,535,"7,500",레지나 맥크레디,성검,골3,골3,골2,골1,원더,원더,원더,골1,원더,원더,원더,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,255,177,,,,,,,"소유아, 레지나 맥크레디",,,24,23
571,4,535,"7,500",만슈타인,보르스레누,-,-,-,-,-,-,-,-,-,-,브1,골3,골2,원더,원더,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,작은달,8,8
571,4,535,"7,500",누렁츄,티스라오,골3,원더,원더,골3,-,-,-,-,-,-,골3,골1,골3,골1,256,256,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,256,,,,,,,,다람쥐,188,174
656,3,535,"7,500",앨리스피즈,카먼,골3,실3,골3,골3,골2,골2,골1,원더,원더,원더,원더,골1,골1,원더,256,256,원더,원더,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,-,,256,,,,,256,"엑셀러, 앨리스피즈",,SP알하자드,100,86
656,3,535,"7,500",하이바바,리그리아,원더,원더,골3,골1,골2,원더,원더,원더,골1,골1,골1,256,256,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251,225,,256,,,,,,,,,18,15
571,4,535,"7,500",그랜실,보르스레누,-,-,-,-,-,-,-,실1,실1,골3,골3,골2,원더,원더,원더,원더,256,원더,256,256,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,256,,,고양이,8,8
571,4,535,"7,500",Vayu,어둠의전설,브2,실3,실3,골3,실3,골3,골2,골2,골2,원더,원더,원더,원더,원더,원더,원더,256,256,원더,256,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,256,,,까꿍시스,4,4
656,3,535,"7,500",내사랑작은배추,레이갈드,골3,골1,골1,골2,골2,원더,원더,원더,원더,원더,골1,256,골3,실1,-,256,-,-,-,256,-,-,-,-,-,-,-,-,-,-,-,190,-,,,,,,,256,"왕개2, 내사랑작은배추",계정 변경 왕개(S12),대한민국,62,51
571,4,535,"7,500",작은배추,레이갈드,골3,원더,원더,원더,원더,원더,256,128,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,214,-,-,-,-,,,,,,,,"작은배추, 작은x추, 나뮤",,대한민국,56,51
656,3,535,"7,500",SP눈썹v,카먼,골1,골1,원더,원더,원더,원더,원더,원더,원더,원더,원더,256,256,원더,원더,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185,239,,,,,,,,"굵은눈썹v, SP눈썹v",,대한민국,100,86
571,4,535,"7,500",JANUS,노센레이어,실3,골3,골3,골2,골1,골1,원더,골2,원더,골1,골1,골1,골1,골1,원더,원더,256,256,원더,256,-,-,225,-,-,-,-,-,-,-,-,-,-,,,,,,,256,,,로망,53,46
571,4,535,"7,500",공아정,티스라오,-,-,-,-,-,-,-,-,-,-,-,-,브3,골3,골2,골2,256,원더,256,256,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,256,,,룬스톤 받아라,188,174
656,3,535,"7,500",김람보,레이갈드,-,-,-,골3,골3,골2,골1,골2,골3,골1,골2,골2,골1,골2,원더,원더,원더,256,256,256,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,256,,,사신,62,51
656,3,535,"7,500",리아나마망,라카스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,골2,원더,256,256,256,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,256,,,사쿠라,12,10
656,3,535,"7,500",이케맨,벨제리아,실2,골3,골3,골3,골2,골2,골2,골2,골3,골3,골3,원더,원더,골1,원더,원더,골1,256,256,256,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,256,,,세인트,32,31
461,6,535,"7,500",클라크공간,티스라오,브3,브2,골3,골1,원더,골1,원더,원더,16,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,204,-,-,-,,,,,,,,"Clark, 클라크공간",,여고생,151,174
571,4,535,"7,500",성역,티스라오,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,256,256,256,-,-,-,-,-,-,244,-,-,-,,-,-,-,,,,,,,,,,자유,188,174
