Rank(P),Point,Rank(C),Cristal,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,이전아이디,비고,여단,SRP,SRC
222,11,253,"15,000",-,-,235,116,125,123,105,-,-,-,65,-,-,,,안쓰님,티스라오,원더,원더,256,128,128,128,128,원더,원더,원더,128,-,-,-,-,AUTO,,랑린이,80,95
241,10,253,"15,000",-,-,-,-,-,-,-,-,-,-,52,34,224,,128,신규,레이갈드,-,-,실3,실2,실2,골3,골2,골1,원더,원더,64,64,256,256,128,"신규, 신규UH60PK",,사신,22,20
241,10,253,"15,000",-,-,-,-,-,-,-,-,-,-,222,82,156,37,64,The Bing,엘스리드,-,-,-,실1,골3,원더,원더,원더,원더,원더,256,128,256,64,64,,,카콘시스,2,2
241,10,253,"15,000",-,-,-,-,-,-,-,-,-,63,152,199,-,69,64,팬더빈,레이갈드,골3,골3,골3,골3,골3,골3,골1,원더,원더,64,256,256,원더,128,64,"팬더빈, 베어빈",,사신,22,20
323,7,253,"15,000",237,-,-,-,-,-,-,-,125,-,169,236,-,,256,하틴4W3bV7,레이갈드,256,골3,골1,-,원더,원더,원더,원더,128,원더,256,256,원더,256,256,"하틴, 하틴4W3bV7",,대한민국,30,20
356,6,253,"15,000",-,-,-,-,-,-,-,219,175,162,204,225,195,,,나마AeqaC,티스라오,실3,원더,원더,원더,골2,원더,원더,256,256,256,256,256,256,-,-,,,,129,95
356,6,253,"15,000",-,-,-,-,-,-,-,194,207,-,171,-,211,,256,베이모스,카먼,골3,골2,원더,원더,원더,원더,원더,256,256,골1,256,원더,256,256,256,,,랑갤럼,59,41
356,6,253,"15,000",-,-,-,-,-,-,-,-,-,187,158,241,237,,256,가넷Crow,벨제리아,실3,실2,골2,원더,원더,원더,원더,원더,원더,256,256,256,256,256,256,,,인연,15,11
356,6,253,"15,000",-,-,-,-,-,-,-,-,202,199,217,128,192,,256,DOTGGABI,티스라오,골2,원더,원더,원더,원더,원더,원더,원더,256,256,256,256,256,원더,256,,,여고생,129,95
175,14,263,"14,500",103,-,113,11,58,113,-,-,-,-,-,-,-,,,깔끔,티스라오,128,원더,128,16,64,128,원더,원더,원더,골1,-,-,-,-,-,,,GSC클럽,68,98
175,14,263,"14,500",-,132,30,32,237,28,-,-,-,-,-,-,-,,,시바댕댕이,레이갈드,원더,256,32,32,256,32,-,-,-,-,-,-,-,-,-,"아몰래딸쳐, 아몬드왈츠, 짹스짹스뽀삐털, 짹짹뽀는세발낙지, 시바댕댕이",,,15,24
241,10,263,"14,500",10,-,137,246,-,194,192,209,-,-,-,-,-,,,fiesta,벨제리아,16,원더,256,256,원더,256,256,256,원더,원더,원더,-,-,-,-,,,,10,12
262,9,263,"14,500",-,-,-,-,-,-,-,-,-,38,115,73,142,,,zdasky,벨제리아,골3,골3,골3,골2,원더,원더,원더,원더,원더,64,128,128,256,256,원더,,,,11,12
262,9,263,"14,500",-,-,-,-,-,-,-,-,-,72,69,145,50,,,뒷짐지고일어서,이바스,-,-,-,-,실3,골2,원더,원더,원더,128,128,256,64,256,-,,,,2,2
262,9,263,"14,500",-,-,-,-,-,-,-,-,-,-,117,169,203,59,128,소요,카먼,실3,실3,실3,골3,골2,골2,골2,골2,골2,원더,128,256,256,64,128,"소요, 필라땜에젖은팬티",,,44,42
262,9,263,"14,500",-,-,-,-,-,-,-,40,240,-,-,-,79,,128,유정,티스라오,실3,골3,골1,원더,원더,원더,원더,64,256,원더,원더,골1,128,256,128,,,Epic,94,98
262,9,263,"14,500",-,-,-,-,-,-,-,-,-,-,207,222,104,87,64,멀티팩터,발디아,골1,골2,골3,골3,골1,-,골3,원더,원더,원더,256,256,128,128,64,,,,13,13
262,9,263,"14,500",-,-,-,-,-,-,-,-,181,-,-,112,74,,64,일레리세,티스라오,실2,골3,골3,골1,원더,원더,원더,원더,256,원더,원더,128,128,256,64,,,카르페디엠,94,98
206,12,272,"14,000",-,29,161,-,-,44,37,-,-,-,-,144,-,,,리르티샤,카먼,원더,32,256,원더,원더,64,64,원더,원더,원더,원더,256,-,-,-,,,,33,43
241,10,272,"14,000",194,201,22,140,243,97,-,-,-,-,-,-,-,,,난정말강하다,카먼,256,256,32,256,256,128,골3,-,-,-,-,-,-,-,-,난씨발강하다,,,37,43
241,10,272,"14,000",232,153,21,193,115,219,-,-,-,-,-,-,-,,,Road,카먼,256,256,32,256,128,256,원더,골3,골2,-,-,-,-,-,-,"UCL 좐, 좐자룡",,UCL,37,43
241,10,272,"14,000",-,187,244,106,116,60,228,-,-,-,-,-,-,,,쏘주s,레이갈드,원더,256,256,128,128,64,256,원더,-,-,-,-,-,-,-,"카너이라, 쏘주정뱅이, 발렌타인엔 쏘주, 짭키엘, 쏘주정뱅이",,,22,25
262,9,272,"14,000",-,-,150,219,44,116,208,-,178,-,-,-,-,,,신립,티스라오,골2,원더,256,256,64,128,256,원더,256,골1,-,-,-,-,-,황진,,질풍,94,101
262,9,272,"14,000",-,229,103,36,152,256,-,206,-,-,-,-,-,,,바니바니당근당근,티스라오,원더,256,128,64,256,256,원더,256,원더,-,-,-,-,-,-,"마이야맘, 아잉짜증나",,초련,94,101
295,8,272,"14,000",-,-,-,-,-,-,-,-,-,243,51,229,110,,,승리의여신니케,레이갈드,실3,실3,-,-,골3,골2,골1,원더,원더,256,64,256,128,256,-,,,,29,25
295,8,272,"14,000",-,-,98,-,67,233,172,156,153,-,-,-,-,,,신정동노빠꾸,카먼,원더,원더,128,원더,128,256,256,256,256,-,-,-,-,-,-,YunEYo,,UCL,50,43
295,8,272,"14,000",-,-,-,-,-,255,-,228,-,80,-,160,-,,64,SP엘하르트,성검,골3,골2,원더,골2,골1,골1,원더,256,원더,128,원더,256,원더,256,64,"엘하르트, 엘하르트0EHt, SP엘하르트",,,12,10
323,7,272,"14,000",209,144,207,195,238,179,139,-,-,-,-,-,-,,,흑우형,성검,256,256,256,256,256,256,256,골2,-,-,-,-,-,-,-,"체리, 린드, 왕초jr, 흑우형",,,13,10
323,7,272,"14,000",-,-,-,256,234,-,231,154,-,-,-,-,112,,,카이엔V,티스라오,원더,원더,원더,256,256,원더,256,256,원더,원더,원더,원더,128,256,-,,보자탈,랑린이,118,101
206,12,283,"13,500",22,55,49,191,182,-,-,-,-,-,-,-,-,,,니버프쩔더라,레이갈드,32,64,64,256,256,원더,-,-,-,-,-,-,-,-,-,"롤저씨, 롤저씨구독좋아요",,,20,27
206,12,283,"13,500",241,20,100,46,107,-,-,-,-,-,-,-,-,,,없는닉네임,티스라오,256,32,128,64,128,원더,골3,-,-,-,-,-,-,-,-,"젤    다, 공백닉12",,,75,104
262,9,283,"13,500",-,-,-,-,17,-,135,171,93,-,190,-,-,,,윈드송,카먼,원더,원더,원더,원더,32,원더,256,256,128,원더,256,-,-,-,-,,,,44,47
262,9,283,"13,500",-,181,115,58,129,193,220,-,-,-,-,-,-,,,킴수민,티스라오,원더,256,128,64,256,256,256,-,-,-,-,-,-,-,-,"극악, 나만아는노래, 킴수민",계정 변경 나만아는노래(S8),,94,104
262,9,283,"13,500",-,-,156,-,-,-,52,89,-,-,-,-,-,,128,다나카 유키오,티스라오,원더,원더,256,원더,원더,원더,64,128,골3,골2,원더,원더,원더,256,128,"망한곰, 골딱이, 승리곰, 루나SP기원, 다카나 유키오",,,94,104
295,8,283,"13,500",203,91,-,160,211,93,-,-,192,-,-,-,-,,,UCL 첼시,카먼,256,128,원더,256,256,128,원더,원더,256,원더,골3,-,-,-,-,"UCL 첼시, 긴바지따먹고싶다, 거세당한긴따먹, 동탁첼시, 오랄섹스, 젖탱이거유불급",,UCL,50,47
323,7,283,"13,500",177,131,165,-,-,-,151,245,-,111,-,-,-,,,김비슷,티스라오,256,256,256,원더,원더,원더,256,256,-,128,골3,-,-,-,-,,,,118,104
162,15,290,"13,000",7,52,6,-,-,-,-,-,-,-,-,-,-,,,도   타,티스라오,8,64,8,원더,골2,골2,실1,골3,-,실1,-,-,-,-,-,드타,계정 변경 칼날부리(S5),,63,108
175,14,290,"13,000",48,23,15,78,-,-,-,-,-,-,-,-,-,,,시리s,레이갈드,64,32,16,128,원더,원더,원더,-,-,-,-,-,-,-,-,"시리s, 틀니s",,,15,28
241,10,290,"13,000",-,58,-,81,96,-,197,-,76,-,-,-,-,,,짜글이,카먼,원더,64,원더,128,128,원더,256,원더,128,-,-,-,-,-,-,,,,37,49
295,8,290,"13,000",246,184,60,174,173,229,-,-,-,-,-,-,-,,,나이스,티스라오,256,256,64,256,256,256,원더,실3,-,-,-,-,-,-,-,,,카르페디엠,108,108
295,8,290,"13,000",-,-,-,-,-,131,180,114,216,61,-,-,-,,,종지엔,티스라오,골3,골1,골2,원더,원더,256,256,128,256,64,골3,-,-,-,-,,,,108,108
323,7,290,"13,000",-,-,-,-,-,-,122,-,177,89,211,242,-,,,딩목,티스라오,실3,골3,골3,골3,골2,원더,128,원더,256,128,256,256,-,-,-,"무케크앙, 딩목",,,118,108
323,7,290,"13,000",-,-,252,-,-,-,-,155,171,-,-,-,119,,128,샨리,발디아,원더,원더,256,원더,골1,원더,원더,256,256,원더,골1,원더,128,골2,128,"샨리, 게임접은샨리",,,15,14
356,6,290,"13,000",-,-,-,-,-,-,-,-,-,-,236,148,145,65,256,크리스아빠,티스라오,실1,골3,골3,골3,골1,골2,골1,골1,골1,골1,256,256,256,128,256,,,,129,108
356,6,290,"13,000",-,-,-,-,-,-,-,-,-,150,229,127,131,,256,검은여우,카먼,골3,골1,골3,원더,골1,원더,원더,원더,원더,256,256,128,256,원더,256,,,명예,59,49
222,11,299,"12,500",-,-,-,67,-,-,39,35,64,-,-,-,-,,,감탄,티스라오,골3,골2,원더,128,원더,원더,64,64,64,골1,실2,-,-,-,-,,,,80,113
262,9,299,"12,500",-,-,-,114,170,19,248,166,-,-,-,-,-,,,Bijou,카콘시스,골2,원더,원더,128,256,32,256,256,원더,원더,-,-,-,-,-,,,,4,4
262,9,299,"12,500",-,-,-,80,117,57,202,188,-,-,-,-,-,,,왜탐,카먼,골2,골3,원더,128,128,64,256,256,골1,골3,골3,-,-,-,-,"공돌이, 3379298, 왜탐",,,44,51
295,8,299,"12,500",-,169,210,121,-,-,-,-,-,-,-,-,49,,,응OH,노센레이어,원더,256,256,128,원더,원더,골3,-,골3,원더,원더,원더,64,256,-,"유유유유, ㅜㅠㅜ, Briz, 챌린, 응OH",,,22,22
295,8,299,"12,500",-,-,-,82,113,75,-,229,173,-,-,-,-,,,보철,노센레이어,원더,원더,원더,128,128,128,원더,256,256,-,-,-,-,-,-,커,,,22,22
295,8,299,"12,500",-,202,249,134,-,-,-,-,-,-,-,235,25,,,폰허브,티스라오,원더,256,256,256,골3,골3,골3,골2,골3,골3,실2,256,32,-,-,"안구사, 프론트이노쎈트",,,108,113
295,8,299,"12,500",-,-,-,-,196,88,76,137,-,-,-,106,-,,,태사니,라카스,골3,골2,원더,원더,256,128,128,256,원더,원더,원더,128,-,-,-,,,,6,6
323,7,299,"12,500",-,-,142,-,-,85,-,-,74,130,208,-,-,,,건맥스,카먼,원더,원더,256,원더,원더,128,원더,원더,128,256,256,-,-,-,-,"랑그릿사예염, 건맥스",,,55,51
356,6,299,"12,500",-,-,-,-,-,-,143,160,170,79,-,-,-,,,루나루아,티스라오,골3,골1,골1,원더,원더,원더,256,256,256,128,원더,원더,원더,256,-,,,,129,113
399,5,299,"12,500",-,-,-,-,-,-,-,134,183,-,134,-,190,,,목요,벨제리아,골3,골3,골3,골3,원더,원더,원더,256,256,원더,256,골1,256,256,-,목요,,인연,19,14
399,5,299,"12,500",-,-,-,-,-,-,-,-,-,-,150,228,246,,256,레나테,티스라오,-,-,-,-,골3,골3,골3,골2,원더,원더,256,256,256,256,256,,,,150,113
206,12,310,"12,000",75,33,40,25,-,-,-,-,-,-,-,-,-,,,빌리아일리시,노센레이어,128,64,64,32,골2,-,-,-,-,-,-,-,-,-,-,"Roxette, 안달루시아의개",,,18,24
262,9,310,"12,000",219,121,163,147,26,-,-,-,-,-,-,-,-,,,네코미미 간바룽,칼자스,256,128,256,256,32,원더,-,-,-,-,-,-,-,-,-,"페로한사, 리코리스간바룽, 오저령",,,14,14
295,8,310,"12,000",-,-,-,-,-,-,-,-,-,-,175,-,197,26,128,알파붐,티스라오,-,-,-,-,-,-,-,골3,원더,원더,256,원더,256,32,128,,,랑린이,108,117
295,8,310,"12,000",-,-,-,-,-,-,-,-,123,-,-,-,208,48,128,까막소,콜시아,-,브3,실1,골3,원더,원더,원더,원더,128,원더,원더,원더,256,64,128,,,묻성검,5,5
295,8,310,"12,000",-,-,-,-,-,-,-,-,-,-,-,200,65,,64,동동주짜앙,카먼,실2,-,-,실3,-,-,-,-,골2,원더,원더,256,128,256,32,,,랑갤럼,50,53
323,7,310,"12,000",171,250,221,-,-,-,-,152,-,36,-,-,-,,,김병키kARey,리그리아,256,256,256,원더,골2,골1,골3,256,-,64,골3,-,-,-,-,김병키,,Legend,8,8
323,7,310,"12,000",-,-,-,-,176,151,54,214,129,-,-,-,-,,,숙명V8f564,성검,골2,원더,원더,원더,256,256,64,256,256,골2,-,-,-,-,-,"귀 신, 숙명",,,13,12
323,7,310,"12,000",-,-,-,224,89,66,-,-,223,-,-,-,-,,256,니가알아내,노센레이어,원더,골2,골1,256,128,128,원더,원더,256,원더,골1,골1,골3,-,256,,,랑린이,27,24
356,6,310,"12,000",-,-,-,-,175,-,214,-,106,-,172,217,-,,,키덜트,카먼,골3,골2,골1,원더,256,원더,256,원더,128,원더,256,256,-,-,-,,,,59,53
399,5,310,"12,000",-,-,-,-,-,-,186,151,201,-,149,131,-,,,뉴그마,벨제리아,-,실2,골3,골2,골1,원더,256,256,256,원더,256,256,-,-,-,"테니스의왕자, 뉴그마",,,19,15
295,8,320,"11,500",93,60,162,163,157,-,-,-,-,-,-,-,-,,,천  마,벨제리아,128,64,256,256,256,원더,-,-,-,-,-,-,-,-,-,"천마, 유동천, 요동천",,,14,16
295,8,320,"11,500",224,82,190,44,219,-,-,-,-,-,-,-,-,,,영두통격,노센레이어,256,128,256,64,256,원더,-,-,-,-,-,-,-,-,-,,,,22,26
295,8,320,"11,500",-,164,84,113,72,170,-,-,-,-,-,-,-,,,펭코위츠,칼자스,원더,256,128,128,128,256,원더,원더,원더,원더,원더,-,-,-,-,"마코위츠, 펭코위츠, 태율이",,,16,15
295,8,320,"11,500",-,165,81,149,45,207,-,-,-,-,-,-,-,,,퓨리셀,노센레이어,원더,256,128,256,64,256,원더,원더,골1,원더,골3,-,-,-,-,프리셀,,,22,26
323,7,320,"11,500",-,-,-,-,-,-,-,-,56,95,-,188,216,,,아이언버드,페르세우스,-,-,-,-,골3,골2,원더,원더,64,128,원더,256,256,-,-,,,,4,4
323,7,320,"11,500",-,-,-,165,203,36,138,185,-,-,-,-,-,,,공백닉4,레이갈드,원더,원더,원더,256,256,64,256,256,-,-,-,-,-,-,-,,,,30,29
323,7,320,"11,500",-,-,-,-,-,-,-,-,-,-,55,-,160,75,256,토와와,보르스레누,-,-,-,-,-,-,-,-,브3,원더,64,원더,256,128,256,,,,2,2
323,7,320,"11,500",-,-,73,211,104,-,175,-,-,-,-,-,-,,256,드래곤슬레이어,카먼,원더,원더,128,256,128,원더,256,원더,원더,원더,원더,원더,원더,원더,256,,,알하자드,55,55
323,7,320,"11,500",-,-,-,-,-,-,-,-,-,-,-,104,206,,64,킹,티스라오,-,-,-,-,실3,골3,골2,골2,골1,원더,원더,128,256,256,64,,,흑우단,118,118
356,6,320,"11,500",-,-,172,72,-,-,156,-,221,129,-,-,-,,,꽃쑨,벨제리아,골1,원더,256,128,원더,원더,256,원더,256,256,원더,-,-,-,-,"꽃쑨, 힢효현",,인연,15,16
399,5,320,"11,500",-,-,-,-,232,-,185,-,168,225,128,-,-,,,아빠가너무강함,발디아,골3,골1,원더,원더,256,원더,256,원더,256,256,256,-,-,-,-,"오레노카치다, 아빠가너무강함",,,17,15
222,11,331,"11,000",-,36,241,3,-,-,-,-,-,-,-,-,-,,,아니에스클로델,티스라오,원더,64,256,4,원더,원더,골3,골3,골1,골3,골2,-,-,-,-,"띵글똥글땡글멜다, 양꿀사, 아니에스, 아니에스클로델",,랑그리스,80,119
241,10,331,"11,000",113,10,121,221,-,-,-,-,-,-,-,-,-,,,비김17,레이갈드,128,16,128,256,원더,골3,-,-,골3,골3,-,-,-,-,-,,,,22,30
241,10,331,"11,000",225,141,39,16,-,-,-,-,-,-,-,-,-,,,키다리아저씨,티스라오,256,256,64,16,골2,-,-,-,-,-,-,-,-,-,-,,,랑그리스,88,119
262,9,331,"11,000",154,8,234,214,-,-,-,-,-,-,-,-,-,,,Illidan,카먼,256,8,256,256,원더,원더,골1,원더,골1,골1,골1,-,-,-,-,,,UCL,44,56
262,9,331,"11,000",-,150,246,133,5,-,-,-,-,-,-,-,-,,,톡쏘는사이다,성검,원더,256,256,256,8,원더,원더,원더,-,-,-,-,-,-,-,,,,10,13
295,8,331,"11,000",-,73,45,-,-,-,-,-,-,-,159,-,-,71,,운유,티스라오,원더,128,64,골2,골2,골1,원더,원더,원더,골3,256,원더,골1,128,-,"돌아온운유, 퇴물운유",,,108,119
323,7,331,"11,000",243,215,146,94,100,-,-,-,-,-,-,-,-,,,IlIllIlI,칼자스,256,256,256,128,128,원더,골2,원더,골1,골2,원더,-,-,-,-,Rosary,,,18,16
323,7,331,"11,000",-,83,173,66,160,228,-,-,-,-,-,-,-,,,티아리스,티스라오,원더,128,256,128,256,256,원더,골3,원더,원더,원더,-,-,-,-,,,카르페디엠,118,119
323,7,331,"11,000",-,128,189,98,225,224,-,-,-,-,-,-,-,,,후흑,티스라오,원더,128,256,128,256,256,골3,-,-,-,-,-,-,-,-,,,,118,119
323,7,331,"11,000",-,175,54,170,156,205,-,-,-,-,-,-,-,,,불타는피카츄,티스라오,원더,256,64,256,256,256,-,-,-,-,-,-,-,-,-,,,GSC클럽,118,119
356,6,331,"11,000",-,-,-,-,-,-,-,88,-,207,88,-,171,,,미스즈,티스라오,실3,골3,골3,원더,원더,원더,원더,128,원더,256,128,원더,256,-,-,"서정리10, 미스즈",,,129,119
356,6,331,"11,000",-,-,-,-,-,-,-,-,-,-,-,247,127,111,256,로느,이스카노,-,-,실3,골3,-,-,골3,골2,원더,원더,원더,256,128,128,256,,,,1,1
399,5,331,"11,000",-,-,-,-,141,142,182,-,-,215,218,-,-,,,튀근,엘스리드,-,실3,골3,원더,256,256,256,원더,원더,256,256,-,-,-,-,파워퇴근,,,3,3
262,9,344,"10,500",170,238,44,29,-,-,-,-,-,-,-,-,-,,,GGFF,칼자스,256,256,64,32,원더,-,-,-,-,-,-,-,-,-,-,카즈가오,,,14,17
262,9,344,"10,500",-,-,197,108,35,37,-,-,-,-,-,-,-,,,죽,티스라오,원더,원더,256,128,64,64,원더,-,-,-,-,-,-,-,-,,,,94,126
356,6,344,"10,500",126,224,171,189,228,-,-,-,-,-,-,-,-,,,사학,티스라오,128,256,256,256,256,-,-,-,-,-,-,-,-,-,-,,,,129,126
356,6,344,"10,500",247,-,-,-,-,-,-,-,-,-,-,89,118,,256,너우리k,티스라오,256,원더,원더,골1,원더,원더,골1,원더,원더,원더,원더,128,128,원더,256,,,,129,126
356,6,344,"10,500",-,-,-,-,-,-,238,210,39,-,205,-,-,,,사그니,레이갈드,원더,골3,원더,원더,원더,원더,256,256,64,원더,256,-,-,-,-,"수륙곰, 시 카, 그 니, 랑그나라옴팡그니, 아르케랜드,그 니, 사그니",계정 변경 곰그니(S6),대한민국,35,31
356,6,344,"10,500",-,-,-,187,-,-,-,61,249,-,130,-,-,,,준드,노센레이어,골1,골2,원더,256,원더,원더,원더,64,256,원더,256,-,-,-,-,"준드래곤, 준드",,,28,28
356,6,344,"10,500",-,232,201,233,168,69,-,-,-,-,-,-,-,,,PRIDE,노센레이어,원더,256,256,256,256,128,골1,원더,원더,골3,실1,-,-,-,-,"PRIDE, 마 카 롱, 심 바",,,28,28
399,5,344,"10,500",-,-,-,-,-,-,-,-,-,185,200,-,165,83,,투신류,벨제리아,실1,골2,골2,원더,골1,원더,원더,원더,원더,256,256,원더,256,128,-,"스사노오j, 투혼75, 투신류",,,19,18
399,5,344,"10,500",-,-,-,-,-,-,-,-,-,-,141,215,169,115,,코드쿤스트,티스라오,골3,골3,골2,실2,골3,골1,원더,원더,원더,원더,256,256,256,128,-,,쿤이,,150,126
399,5,344,"10,500",-,-,-,-,-,-,-,-,-,240,186,-,-,84,256,인생망했다,노센레이어,원더,원더,원더,원더,원더,원더,원더,원더,골2,256,256,원더,원더,128,256,,,,35,28
399,5,344,"10,500",-,-,-,-,-,-,-,-,-,-,188,-,108,,256,호우호우,카먼,-,-,골3,골3,골2,원더,원더,원더,원더,원더,256,원더,128,256,256,,,,64,57
399,5,344,"10,500",-,-,-,-,-,-,-,-,-,-,219,-,117,,256,밀리애니2기기원,티스라오,골3,골3,골3,골3,골3,골2,골3,골3,골3,골1,256,원더,128,256,256,"아카야미, 여성인권 운동가, 타마모 크로스, 팥쥐1, 밀리애니2기기원",,머피소,150,126
399,5,344,"10,500",-,-,-,-,-,-,-,-,146,169,212,-,-,,128,핵파워탁구,카먼,골3,골3,원더,원더,원더,원더,원더,원더,256,256,256,원더,원더,원더,128,,,다람쥐,64,57
399,5,344,"10,500",-,-,-,-,-,-,-,197,-,-,167,-,138,,128,라우트13,티스라오,원더,골2,원더,골1,원더,원더,원더,256,원더,원더,256,-,256,-,128,,,,150,126
295,8,358,"10,000",151,170,-,123,-,27,-,-,-,-,-,-,-,,,Landsoul,카먼,256,256,원더,128,골2,32,골2,골1,골2,-,-,-,-,-,-,빛후랜솔,,,50,59
295,8,358,"10,000",-,-,-,-,-,190,-,-,97,14,-,-,-,,,에르슈,티스라오,골2,원더,원더,원더,원더,256,원더,원더,128,16,-,-,-,-,-,,,슬레이어즈,108,132
295,8,358,"10,000",-,211,117,-,64,98,-,-,-,-,-,-,-,,,후숙키위,티스라오,원더,256,128,원더,64,128,-,원더,-,-,-,-,-,-,-,"Briz, BRIZEND, E N D, ENDNE, ENND, 양꿀",,랑그리스,108,132
295,8,358,"10,000",-,-,-,-,-,-,-,-,-,-,-,-,202,33,64,QQQ,카먼,골3,골3,골2,골2,원더,원더,원더,골1,골1,원더,원더,원더,256,64,32,"QQQ, 흑미쫀득한데",,명예,50,59
399,5,358,"10,000",-,-,-,-,-,144,-,162,230,73,-,-,-,,,사기왕로렉스,티스라오,골3,골1,원더,원더,원더,256,원더,256,256,128,원더,-,-,-,-,,,질풍,150,132
399,5,358,"10,000",-,-,-,96,-,-,-,165,231,153,-,-,-,,,라마,티스라오,골2,골2,골1,128,원더,원더,원더,256,256,256,원더,-,-,-,-,,,,150,132
399,5,358,"10,000",-,-,-,-,-,-,150,-,-,241,-,159,81,,,Laureate,레이갈드,골3,골2,골3,골2,골2,원더,256,원더,원더,256,원더,256,128,-,-,"여은이람쥐, Laureate",,,38,32
399,5,358,"10,000",-,-,-,145,-,-,-,-,-,-,-,103,144,,256,배꼽겨드랑이,리그리아,원더,골1,원더,256,원더,원더,골2,골2,원더,골1,원더,128,256,원더,256,"배꼽겨드랑이, 머지리지인살, 배드랑이",,형귀헬스장,11,9
464,4,358,"10,000",-,-,-,-,-,-,-,-,-,229,133,255,-,,,방귀는나가서,칼자스,-,실3,실1,골1,원더,원더,원더,원더,원더,256,256,256,원더,256,-,"망향비빔국수, 방귀는나가서",,,23,18
464,4,358,"10,000",-,-,-,-,-,-,-,-,-,-,181,226,238,,,연옥,카먼,-,골3,골3,원더,원더,원더,원더,원더,원더,원더,256,256,256,256,-,,,,73,59
464,4,358,"10,000",-,-,-,-,-,-,-,-,-,-,182,-,256,,256,ㅇㅂㅊㅊ,벨제리아,-,실2,-,-,골2,원더,원더,원더,골1,원더,256,원더,256,256,256,,,형귀헬스장,24,19
464,4,358,"10,000",-,-,-,-,-,-,-,-,-,-,255,238,-,,256,웨블,레이갈드,골2,골2,원더,원더,원더,원더,원더,원더,원더,원더,256,256,원더,256,256,,,,44,32
464,4,358,"10,000",-,-,-,-,-,-,-,-,-,-,245,254,235,,256,생선 빌런,노센레이어,원더,원더,원더,골1,골1,원더,원더,원더,원더,원더,256,256,256,원더,256,"생선빌런, 봇치 빌런, 미맹 빌런, 강풍올백 빌런, 탕수육 빌런, 인어 빌런",,랑린이,43,31
241,10,371,"9,500",59,56,19,-,-,-,-,-,-,-,-,-,-,,,IKEA,카먼,64,64,32,원더,-,-,-,-,-,-,-,-,-,-,-,,,,37,62
295,8,371,"9,500",-,-,-,90,-,-,-,30,-,-,90,-,-,,,펭귄기여어,칼자스,골2,원더,원더,128,원더,원더,원더,32,원더,원더,128,-,-,-,-,,,,16,19
323,7,371,"9,500",-,-,-,-,-,-,-,-,-,-,-,-,102,116,64,달님콤콤,이리스,-,-,-,-,-,-,-,-,-,실3,골3,원더,128,128,64,,,붉은달,1,1
356,6,371,"9,500",68,-,118,-,-,191,-,-,-,-,189,-,-,,,라비는약해,티스라오,128,원더,128,원더,원더,256,원더,원더,원더,원더,256,-,-,-,-,,,,129,136
356,6,371,"9,500",-,207,-,100,-,-,86,-,-,-,-,-,-,,,라 플라스,티스라오,원더,256,원더,128,원더,원더,128,원더,원더,원더,원더,원더,원더,256,-,,,,129,136
356,6,371,"9,500",-,-,-,-,51,176,216,234,-,-,-,-,-,,,폭사의요정,티스라오,골3,골3,골3,원더,64,256,256,256,원더,원더,원더,-,-,-,-,,,,129,136
399,5,371,"9,500",-,-,-,-,-,248,140,175,68,-,-,-,-,,,브레이브버드,티스라오,원더,원더,원더,원더,원더,256,256,256,128,-,-,-,-,-,-,,,카르페디엠,150,136
399,5,371,"9,500",-,-,-,-,-,173,102,213,210,-,-,-,-,,,흑강의 후계자,티스라오,골3,원더,원더,원더,원더,256,128,256,256,원더,골3,-,-,-,-,,,,150,136
464,4,371,"9,500",-,-,-,-,-,-,234,-,-,-,-,-,149,,256,끼얏호우,티스라오,골2,골2,원더,원더,원더,원더,256,원더,원더,원더,원더,원더,256,256,256,,,새우사망,166,136
464,4,371,"9,500",-,-,-,-,-,-,229,-,-,-,-,223,-,,256,세븐 체인저,벨제리아,원더,원더,원더,원더,원더,원더,256,원더,원더,원더,원더,256,원더,256,256,,,,24,20
222,11,381,"9,000",13,7,-,-,-,-,-,-,-,-,-,-,-,,,에밀리오yOA6,발디아,16,8,원더,-,-,-,-,-,-,-,-,-,-,-,-,양워르,,,10,16
262,9,381,"9,000",104,117,12,-,-,-,-,-,-,-,-,-,-,,,진영편성,티스라오,128,128,16,골1,골2,원더,원더,원더,원더,원더,원더,-,-,-,-,황철두,,카르페디엠,94,142
262,9,381,"9,000",-,166,33,13,-,-,-,-,-,-,-,-,-,,,에스카노르0rh,성검,원더,256,64,16,-,-,원더,골3,-,-,-,-,-,-,-,에스카노르,,,10,14
262,9,381,"9,000",-,-,14,48,138,-,-,-,-,-,-,-,-,,,고인 젠킨스,벨제리아,골2,골1,16,64,256,원더,골1,실3,실2,실3,-,-,-,-,-,"LeeRoy, 균형의수호자, 양념반후라이드반, 쿤형의수호자, 균형의수호자, C드권 젠킨스, 아이디빌린초보, 결속, 북극의 막시무스, 고인 젠킨스",,,11,21
323,7,381,"9,000",-,-,-,-,-,-,213,-,63,58,-,-,-,,,Solongos,카먼,원더,골3,골3,골3,골3,골3,256,원더,64,64,-,-,-,-,-,"윤석열, 용사근혜, 대갈휘, 야숭이두창, 공백닉, Solongos",,,55,63
